id|question1|question2|answer
32|ANY TIME, IF NOT LESS THAN 1/10TH MEMBERS OF LOK WHAT IS LOCAL SELF-GOVERNMENT ? IF HOUSE IS IN OR TO THE OF LOK SABHA PRESIDENT AS THE CASE MAY BE, SHALL CONVENE A SPECIAL SESSION||SHALL WITHIN 14 DAYS AND IF SUCH A RESOLUTION IS PASSED, PRESIDENT 1. REVOKE NATIONAL EINERGENCY. LOCAL SELF-GOVERNMENT IMPLIES THE TRANSFERENCE OF THE POWER TO RULE TO THE LOWEST RUNGS OF THE POLITICAL ORDER. 2. IT IS A FORM OF DEMOCRATIC DECENTRALIZATION WHERE THE PARTICIPATION OF EVEN THE GRASS ROOT LEVEL OF THE SOCIETY IS ENSURED IN THE PROCESS OF ADMINISTRATION.  BASIC INFORMATION ABOUT INDIAN CONSTITUTION  1-35P (NCC-SEM-5 6) 1-34P (NCC-SEM-5&6 THE VILLAGE PANCHAYAT, AS A SYSTEM OF ADMINISTRATION, LOCAL AUTONOMY. BEGAN IN THE BRITISH II. POST OF DDC (DISTRICT DEVELOPMENT COMMISSIONER) TO BE CREATED 3. DAYS, AS THEIR OFFER TO SATISFY THE DEMANDS FOR ACTING AS THE CHIEF EXECUTIVE OFFICER OF THE ZILA PARISHAD. THEY OPENED UP THE GOVERNANCE OF THE LOWEST LEVELS TO THE CITIZENS. III. REGULAR ELECTIONS TO BE HELD. 4. 5. THE GOVERNMENT OF INDIA ACT OF 1935 ALSO AUTHORIZES THE PROVINCES TO 6. LM SINGHVI COMMITEE (1986) THE IMPORTANT RECOMMENDATIONS OF THIS COMMITTEE ARE : ENACT LEGISLATIONS. I. CONSTITUTIONAL RECOGNITION FOR PRI INSTITUTIONS.
33|WHAT ARE PANCHAYATS AND MUNICIPALITIES ? ANSWER EVEN THOUGH SUCH MINOR FORMS OF LOCAL GOVERNANCE WAS EVIDENT IN||1. INDIA, THE FRAMERS OF THE CONSTITUTIONS, INCLUDED ARTICLE 40 AMONG THE 1. PANCHAYAT AND MUNICIPALITY ARE THE GENERIC TERMS FOR THE GOVERNING WITH POWERS AND AUTHORITY TO ENABLE THEM TO FUNCTION AS UNITS OF DIRECTIVE PRINCIPLES, TO ORGANIZE VILLAGE PANCHAYATS AND ENDOW THEM SELF- BODY AT THE LOCAL LEVEL. BOTH EXIST AS THREE TIER SYSTEMS AT THE LOWER, INTERMEDIATE AND UPPER LEVELS. GOVERNMENT. 2. THE 73RD CONSTITUTIONAL AMENDMENT ACT PROVIDES FOR A GRAM SABHA AS 2 THE CONCEPTUALISATION OF THE SYSTEM OF LOCAL SELF-GOVERNMENT IN INDIA THE FOUNDATION OF THE PANCHAYATI RAJ SYSTEM. IT IS ESSENTIALLY A VILLAGE TOOK PLACE THROUGH THE FORMATION AND EFFORT OF FOUR IMPORTANT COMMITTEES ASSEMBLY CONSISTING OF ALL THE REGISTERED VOTERS IN THE AREA OF THE FROM THE YEAR 1957 TO 1986. PANCHAYAT. 3. BALWANT RAI MEHTA COMMITTEE (1957) : THE IMPORTANT 3. THE STATE HAS THE POWER TO DETERMINE WHAT KIND OF POWERS IT CAN RECOMMENDATIONS OF THIS COMMITTEE ARE EXERCISE, AND WHAT FUNCTIONS IT HAS TO PERFORM AT THE VILLAGE LEVEL. I. ESTABLISHMENT OF A THREE-TIER PANCHAYATI RAJ SYSTEM - GRAM 4. THE 74TH CONSTITUTIONAL AMENDMENT ACT PROVIDES FOR THREE TYPES OF PANCHAYAT AT VILLAGE LEVEL (DIRECT ELECTION), PANCHAYAT SAMITI AT THE MUNICIPALITIES: BLOCK LEVEL AND ZILA PARISHAD AT THE DISTRICT LEVEL (INDIRECT ELECTION). I. NAGAR PANCHAYAT FOR A TRANSITIONAL AREA BETWEEN A RURAL AND URBAN II. DISTRICT COLLECTOR TO BE THE CHAIRMAN OF ZILA PARISHAD. AREA. III. TRANSFER OF RESOURCES AND POWER TO THESE BODIES TO BE ENSURED. II. MUNICIPAL COUNCIL FOR A SMALL URBAN AREA. 4. ASHOK MEHTA COMMITTEE (1977-1978) : THE IMPORTANT III. MUNICIPAL CORPORATION FOR A LARGE URBAN AREA. RECOMMENDATIONS OF THIS COMMITTEE ARE 5. MOST OF THE PROVISIONS OF THE TWO ACTS ARE PARALLEL, DIFFERING ONLY IN THE I. THREE-TIER SYSTEM TO BE REPLACED BY A TWO-TIER SYSTEM. FACT THAT THEY ARE BEING APPLIED TO EITHER A PANCHAYAT OR A MUNICIPALITY POLITICAL PARTIES SHOULD PARTICIPATE AT ALL LEVELS IN THE ELECTIONS. RESPECTIVELY. II III. COMPULSORY POWERS OF TAXATION TO BE GIVEN TO THESE INSTITUTIONS. 6. THE CHAIRPERSON OF THE PANCHAYAT OR MUNICIPALITY AT THE INTERMEDIATE AND DISTRICT LEVEL ARE ELECTED FROM AMONG THE REPRESENTATIVES AT THE IV. ZILA PARISHAD TO BE MADE RESPONSIBLE FOR PLANNING AT THE STATE LEVEL. IMMEDIATELY LOWER LEVEL BY INDIRECT ELECTION. V. A MINISTER FOR PANCHAYATI RAJ TO BE APPOINTED BY THE STATE COUNCIL OF MINISTERS. VI. CONSTITUTIONAL RECOGNITION TO BE GIVEN TO PANCHAYATI RAJ INSTITUTIONS. 000 5. GVK RAO COMMITTEE (1985): THE IMPORTANT RECOMMENDATIONS OF THIS COMMITTEE ARE I ZILA PARISHAD TO BE GIVEN PRIME IMPORTANCE AND ALL DEVELOPMENTAL PROGRAMS AT THAT LEVEL TO BE HANDED TO IT.  2-2P (NCC-SEM-5& 6) UNION EXECUTIVE & STATE EXECUTIVE PART- 1 2 POWERS OF INDIAN PARLIAMENT, FUNCTIONS OF RAJYA SABHA, FUNCTIONS UNION EXECUTIVE AND OF LOK SABHA, POWERS AND FUNCTIONS OF THE PRESIDENT, COMPARISON OF POWERS OF INDIAN PRESIDENT WITH THE UNITED STATES. UNIT STATE EXECUTIVE   CONTENTS
34|WHAT ARE THE POWERS OF INDIAN PARLIAMENT ? : POWERS OF INDIAN PARLIAMENT, 2-2P TO 2-10P||FUNCTIONS OF RAJYA SABHA, FUNCTIONS OF LOK SABHA, POWERS AND FUNCTIONS I. ALL THE LEGISLATIVE POWERS OF THE INDIAN FEDERAL GOVERNMENT ARE VESTED IN THE PARLIAMENT. OF THE PRESIDENT, COMPARISON OF POWERS OF INDIAN PRESIDENT WITH II. THE LAWS FRAMED BY THE INDIAN PARLIAMENT ARE ENFORCED IN THE WHOLE OF THE UNITED STATES THE COUNTRY. III. ITS POWERS CAN BE CLASSIFIED IN TO FOLLOWING HEADS : : POWERS AND FUNCTIONS OF THE 2-10P TO 2-22P PRIME MINISTER, JUDICIARY THE 1. LEGISLATIVE POWERS : ALL THE SUBJECTS IN OUR CONSTITUTION ARE DIVIDED INDEPENDENCE OF THE AMONG STATE, UNION AND CONCURRENT LISTS. IN CONCURRENT LIST PARLIAMENTARY SUPREME COURT, APPOINTMENT OF LAW IS OVER RIDING THAN STATE LEGISLATIVE LAW. JUDGES, JUDICIAL REVIEW, PUBLIC INTEREST 2. EXECUTIVE POWERS : ACCORDING TO PARLIAMENTARY FORM OF GOVERNMENT LITIGATION, JUDICIAL ACTIVISM, EXECUTIVE IS RESPONSIBLE TO THE PARLIAMENT FOR ITS ACTS AND POLICIES. HENCE LOKPAL, LOK AYUKTA, THE LOKPAL PARLIAMENT EXERCISES CONTROL BY VARIOUS MEASURES LIKE COMMITTEES, AND LOK AYUKTAS ACT 2013 HOUR, ZERO HOUR ETC. 3. FINANCIAL POWERS : IT INCLUDES ENACTMENT OF BUDGET, SCRUTINIZING THE : STATE EXECUTIVES POWERS AND 2-22P TO 2-29P PERFORMANCE OF GOVERNMENT WITH RESPECT OF FINANCIAL SPENDING THROUGH FUNCTIONS OF THE GOVERNOR, POWERS FINANCIAL COMMITTEES (POST BUDGETARY CONTROL). AND FUNCTIONS OF THE CHIEF MINISTER, FUNCTIONS OF STATE CABINET, 4. CONSTITUENT POWERS : TO AMEND THE CONSTITUTION, TO PASS ANY LAWS FUNCTIONS OF STATE LEGISLATURE, REQUIRED, ETC. FUNCTIONS OF HIGH COURT AND 5. JUDICIAL POWERS : IT INCLUDES : SUBORDINATE COURTS I. IMPEACHMENT OF PRESIDENT FOR VIOLATION OF CONSTITUTION. II. REMOVAL OF JUDGES OF SUPREME COURT AND HIGH COURT. III. REMOVAL OF VICE-PRESIDENT. IV. PUNISH MEMBERS FOR BREACH OF PRIVILEGES LIKE SITTING IN THE HOUSE WHEN THE MEMBER KNOWS HE IS NOT AN ELIGIBLE MEMBER, SERVING AS MEMBER BEFORE TAKING OATH ETC. 2-1P ()   2-3P (NCC-SEM-5& 2-4 P () UNION EXECUTIVE & STATE EXECUTIVE 6. ELECTORAL POWERS : IT HAS ITS PARTICIPATION IN THE ELECTION OF PRESIDENT AND VICE-PRESIDENT. THE MEMBERS OF LOK SABHA ELECT SPEAKER AND DEPUTY B. AN ORDINARY BILL CAN BE INTRODUCED IN THE RAJYA SABHA AND IT CANNOT BECOME A LAW UNLESS PASSED BY IT. SPEAKER FROM AMONG ITS MEMBERS. SIMILARLY MEMBERS OF RAJYA SABHA ELECT DEPUTY CHAIRMAN. 2. FINANCIAL POWERS : 7. OTHER POWERS : IT INCLUDES: A. IN THE FINANCIAL SPHERE, THE RAJYA SABHA IS A WEAK HOUSE. TO DISCUSS VARIOUS ISSUES OF NATIONAL AND INTERNATIONAL IMPORTANCE. B. A MONEY BILL CANNOT BE INTRODUCED IN THE RAJYA SABHA. IT CAN BE I. INITIATED ONLY IN THE LOK SABHA. II. IMPOSING EMERGENCY. C. IF THE RAJYA SABHA PROPOSES SOME AMENDMENTS AND THE BILL IS III. INCREASE OR DECREASE AREA, CHANGE NAMES, ALTER THE BOUNDARY OF RETURNED TO THE LOK SABHA, IT DEPENDS UPON THE LOK SABHA TO THE STATES. ACCEPT OR REJECT THE PROPOSED AMENDMENTS. IV. CREATE OR ABOLISH STATE LEGISLATURE, ETC. 3. EXECUTIVE POWERS : A. THE UNION COUNCIL OF MINISTERS IS COLLECTIVELY RESPONSIBLE BEFORE
35|WRITE A SHORT NOTE ON RAJYA SABHA (COUNCIL OF STATES). THE LOK SABHA AND NOT THE RAJYA SABHA. B. LOK SABHA ALONE CAN CAUSE THE FALL OF THE COUNCIL OF MINISTERS BY||PASSING A VOTE OF NO-CONFIDENCE. 1. THE RAJYA SABHA (COUNCIL OF STATES) IS THE UPPER HOUSE OF OUR 4. AMENDMENT POWERS: PARLIAMENT. A. RAJYA SABHA AND LOK SABHA CAN TOGETHER AMEND THE CONSTITUTION 2. IT CONSISTS OF NOT MORE THAN 250 MEMBERS, OUT OF WHICH, 238 MEMBERS BY PASSING AN AMENDMENT BILL WITH 2/3 MAJORITY IN EACH HOUSE. REPRESENT THE STATES AND UNION TERRITORIES AND 12 MEMBERS ARE 5. ELECTORAL POWERS : NOMINATED BY THE PRESIDENT FROM AMONGST THE PERSONS HAVING SPECIAL A. THE RAJYA SABHA HAS SOME ELECTORAL POWERS ALSO. KNOWLEDGE AND PRACTICAL EXPERIENCE IN RESPECT OF SUCH MATTERS AS LITERATURE, SCIENCE, ART AND SOCIAL SERVICE. B. THE ELECTED MEMBERS OF THE RAJYA SABHA ALONG WITH THE ELECTED MEMBERS OF THE LOK SABHA AND ALL THE STATE LEGISLATIVE ASSEMBLIES 3. AT PRESENT, THE ACTUAL STRENGTH OF RAJYA SABHA IS 245. TOGETHER ELECT THE PRESIDENT OF INDIA. 4. A PERMANENT BODY, RAJYA SABHA IS NOT SUBJECT TO DISSOLUTION. HOWEVER, C. THE MEMBERS OF THE RAJYA SABHA AND LOK SABHA TOGETHER ELECT THE ONE-THIRD OF ITS MEMBERS RETIRE BIENNIALLY. VICE-PRESIDENT OF INDIA. 5. A MEMBER WHO IS ELECTED FOR A FULL TERM RETAINS HIS MEMBERSHIP FOR SIX D. MEMBERS OF THE RAJYA SABHA ALSO ELECT A DEPUTY CHAIRMAN FROM YEARS. HE IS ELIGIBLE FOR RE-ELECTION. AMONGST THEMSELVES. 6. A MEMBER ELECTED/NOMINATED TO A CASUAL VACANCY SERVES FOR THE 6. JUDICIAL POWERS : REMAINDER TERM ONLY. A. THE RAJYA SABHA ACTING ALONG WITH THE LOK SABHA CAN IMPEACH THE 7. MEMBERS OF RAJYA SABHA ARE ELECTED BY THE ELECTED MEMBERS OF THE PRESIDENT ON CHARGES OF VIOLATION OF THE CONSTITUTION. STATE LEGISLATIVE ASSEMBLIES IN ACCORDANCE WITH THE SYSTEM OF PROPORTIONAL REPRESENTATION BY MEANS OF THE SINGLE TRANSFERABLE VOTE. B. THE RAJYA SABHA CAN ALSO PASS A SPECIAL ADDRESS FOR CAUSING THE REMOVAL OF A JUDGE OF THE SUPREME COURT OR OF ANY HIGH COURT.
36|WHAT ARE THE POWERS AND FUNCTIONS OF THE RAJYA SABHA ? C. THE CHARGES AGAINST THE VICE-PRESIDENT CAN BE LEVELED ONLY IN THE RAJYA SABHA.||D. THE RAJYA SABHA CAN PASS A RESOLUTION FOR THE REMOVAL OF SOME HIGH OFFICERS LIKE THE ATTORNEY GENERAL OF INDIA, COMPTROLLER AND 1. LEGISLATIVE POWERS : AUDITOR GENERAL AND CHIEF ELECTION COMMISSIONER. A. IN THE SPHERE OF ORDINARY LAW-MAKING THE RAJYA SABHA ENJOYS EQUAL 7. MISCELLANEOUS POWERS : THE RAJYA SABHA AND LOK SABHA JOINTLY POWERS WITH THE LOK SABHA. PERFORM THE FOLLOWING FUNCTIONS   2-6P () UNION EXECUTIVE & STATE EXECUTIVE A. APPROVAL OF THE ORDINANCES ISSUED BY THE PRESIDENT, B. ORDINARY BILL CAN BE INTRODUCED IN EITHER OF TWO HOUSES OF THE B. RATIFICATION OF AN EMERGENCY PROCLAMATION, PARLIAMENT, YET ALMOST 95% OF THE BILLS ARE INTRODUCED IN THE LOK SABHA. C. MAKING ANY CHANGE IN THE JURISDICTION OF THE SUPREME COURT AND C. BECAUSE OF ITS LARGE MEMBERSHIP THE LOK SABHA HAS A DOMINANT THE HIGH COURTS, AND POSITION IN THE HOUSE. D. MAKING ANY CHANGE IN THE QUALIFICATIONS FOR THE MEMBERSHIP OF THE 2. EXECUTIVE POWER : LOK SABHA AND THE RAJYA SABHA. A. UNDER ARTICLE 75(3) OF CONSTITUTION, COUNCIL OF THE MINISTER HAS BEEN 8. TWO SPECIAL POWERS OF RAJYA SABHA : THE RAJYA SABHA ENJOYS TWO MADE RESPONSIBLE TO THE LOK SABHA. EXCLUSIVE POWERS : B. THE COUNCIL OF MINISTER REMAINS IN OFFICE TILL IT ENJOYS THE CONFIDENCE A. THE POWER TO DECLARE A SUBJECT OF STATE LIST AS A SUBJECT OF NATIONAL OF THE LOK SABHA, IF IT LOSES THE CONFIDENCE OF LOK SABHA THE COUNCIL IMPORTANCE. OF MINISTERS SHALL HAVE TO RESIGN. B. POWER IN RESPECT OF CREATION OR ABOLITION OF AN ALL INDIA SERVICE. 3. FINANCIAL POWER : A. THE LOK SABHA HAS A SUPERIOR POSITION IN THE FINANCIAL MATTER AS A
37|WRITE A SHORT NOTE ON LOK SABHA (HOUSE OF THE PEOPLE). MONEY BILL CAN ONLY BE INTRODUCED IN THE LOK SABHA. B. A MONEY BILL CAN ONLY BE DELAYED BY THE RAJYA SABHA FOR A MAXIMUM||OF 14 DAYS. C. IN CASE OF ANY DISPUTE AS TO WHETHER A PARTICULAR BILL IS MONEY BILL OR 1. LOK SABHA IS COMPOSED OF REPRESENTATIVES OF THE PEOPLE CHOSEN BY DIRECT NOT THE DECISION OF THE SPEAKER OF THE LOK SABHA IS FINAL. ELECTION ON THE BASIS OF THE ADULT SUFFRAGE. JUDICIAL POWER THE LOK SABHA POSSESSES THE FOLLOWING JUDICIAL POWER : 4. 2. THE MAXIMUM STRENGTH OF THE HOUSE ENVISAGED BY THE CONSTITUTION IS A. THE CHARGES OF IMPEACHMENT AGAINST PRESIDENT, JUDGES OF SUPREME 552. COURT AND THE HIGH COURT CAN BE FRAMED IN EITHER OF TWO HOUSES BY 3. THIS IS MADE UP BY ELECTION OF UPTO 530 MEMBERS TO REPRESENT THE STATES, A TWO-THIRDS MAJORITY OF THE MEMBERS PRESENT VOTING. UPTO 20 MEMBERS TO REPRESENT THE UNION TERRITORIES AND NOT MORE THAN B. THOUGH THE IMPEACHMENT CHARGES AGAINST THE VICE PRESIDENT OF TWO MEMBERS OF THE ANGLO-INDIAN COMMUNITY TO BE NOMINATED BY THE INDIA ARE FRAMED BY RAJYA SABHA, IT IS ESSENTIAL THAT REGULATION IS HON'BL PRESIDENT. PASSED BY THE LOK SABHA ALSO. 4. THE TOTAL ELECTIVE MEMBERSHIP IS DISTRIBUTED AMONG THE STATES IN SUCH A C. IN CASE OF THE VIOLATION OF THE DISCIPLINE IN THE LOK SABHA, THE WAY THAT THE RATIO BETWEEN THE NUMBER OF SEATS ALLOTTED TO EACH STATE MEMBERS ARE FREE TO TAKE ACTION AGAINST THE DEFAULTING MEMBERS. AND THE POPULATION OF THE STATE IS THE SAME FOR ALL STATES. 5. AMENDMENT POWER: 5. THE LOK SABHA, UNLESS SOONER DISSOLVED, CONTINUES TO OPERATE FOR FIVE A. A CONSTITUTIONAL AMENDMENT BILL CAN BE INTRODUCED IN EITHER HOUSE YEARS FROM THE DATE APPOINTED FOR ITS FIRST MEETING. OF THE PARLIAMENT.
38|WHAT ARE THE POWERS AND FUNCTIONS OF THE LOK SABHA ? B. IT IS DEEMED TO HAVE BEEN PASSED ONLY WHEN IT IS PASSED BY BOTH THE HOUSES OF THE PARLIAMENT IN ACCORDANCE WITH THE PROVISION OF ARTICLE 368 OF THE CONSTITUTION. ANSWER C. THE LOK SABHA AND RAJYA SABHA CAN TOGETHER AMEND ALL ARTICLES OF THE CONSTITUTION WITH THE EXCEPTION OF THOSE WHICH REQUIRES SPECIAL POWERS AND FUNCTION OF LOK SABHA: APPROVAL BY ONE HALF OF THE STATE LEGISLATURE. 1. LEGISLATIVE POWER: 6. APPROVAL OVER THE DECLARATION OF EMERGENCY : A. THE LOK SABHA TOGETHER WITH THE RAJYA SABHA HAS THE POWER TO A. THE CONSTITUTION EMPOWERS THE INDIAN PRESIDENT TO DECLARE THREE FRAME LAWS ON SUBJECTS IN THE UNION LIST, CONCURRENT LIST, AND THE RESIDUARY SUBJECTS. TYPES OF EMERGENCIES :   2-7P () 2-8P(NCC-SEM-5&6) UNION EXECUTIVE & STATE EXECUTIVE I. NATIONAL EMERGENCY II. CONSTITUTIONAL EMERGENCY||III. FINANCIAL EMERGENCY A. EXECUTIVE POWERS OF PRESIDENT: B. BUT EACH SUCH A DECLARATION OF EMERGENCY HAS TO BE GOT APPROVED BY 1. HEAD OF THE UNION ADMINISTRATION : ALL EXECUTIVE ORDERS ARE ISSUED IN THE NAME OF THE PRESIDENT. BOTH OF THE HOUSES OF PARLIAMENT. IN CASE THE LOK SABHA DISSOLVED AT THE TIME OF THE DECLARATION OF 2. APPOINTMENTS OF OFFICIALS OF THE STATE : C. EMERGENCY IT, HAS TO BE APPROVED BY THE RAJYA SABHA. A. THE PRESIDENT MAKES APPOINTMENTS TO THE KEY POSTS TO RUN THE GOVERNMENT'S ADMINISTRATION 7. MISCELLANEOUS POWER : B. HE APPOINTS THE PRIME MINISTER AND THE COUNCIL OF MINISTERS, THE A. IT GIVES APPROVAL TO THE ORDINANCE ISSUED BY THE PRESIDENT. CHIEF JUSTICE AND THE JUDGES OF SUPREME COURT AND THE HIGH COURTS, IT CHANGES THE BOUNDARY OF STATE, TO ESTABLISH NEW STATES AND CHANGE THE GOVERNORS OF THE STATES, ATTORNEY GENERAL OF INDIA, COMPTROLLER B. AND AUDITOR GENERAL, CHAIRMAN AND MEMBERS OF THE UPSC, THE NAME OF STATES. CHAIRMAN AND MEMBERS OF THE PLANNING COMMISSION. C. IT MAKES CHANGES IN THE JURISDICTION OF THE SUPREME COURT AND HIGH COURT ACCORDING TO THE PROVISION OF THE CONSTITUTION. B. LEGISLATIVE POWERS OF PRESIDENT: REVISING THE SALARY AND ALLOWANCES OF THE MEMBER OF THE PARLIAMENT. 1. THE PRESIDENT ADDRESSES THE SESSIONS OF THE PARLIAMENT. D. E. TO DISCUSS THE REPORT OF UPSC AUDITOR GENERAL OF INDIA AND FINANCE 2. THE PRESIDENT HAS THE POWER TO ADDRESS EITHER HOUSE OF PARLIAMENT AT ANY TIME. COMMISSION ETC. 3. HE CAN SEND MESSAGES TO EITHER HOUSE OF THE PARLIAMENT. HE SUMMONS
39|WHAT IS THE DIFFERENCE BETWEEN LOK SABHA AND RAJYA AND PROROGUES THE HOUSES. HE CAN DISSOLVE THE LOK SABHA AND ORDER FRESH ELECTIONS. SABHA ? 4. 5. NO BILL CAN BECOME A LAW WITHOUT THE ASSENT AND THE SIGNATURE OF THE||PRESIDENT. LOK SABHA RAJYA SABHA 6. UNDER ARTICLE 123, THE PRESIDENT CAN PROMULGATE AN ORDINANCE. S. NO. RAJYA SABHA IS ALSO KNOWN AS C. DIPLOMATIC POWERS OF PRESIDENT: 1. LOK SABHA IS ALSO KNOWN AS COUNCIL OF STATES. 1. INDIA IS REPRESENTED ON INTERNATIONAL FORUM BY THE PRESIDENT OF INDIA. HOUSE OF THE PEOPLE. 2. RAJYA SABHA IS A PERMANENT BODY. HE SENDS AND RECEIVES AMBASSADORS. THE TENURE OF LOK SABHA 3. 2. ALL INTERNATIONAL TREATIES AND AGREEMENTS ARE CONCLUDED ON BEHALF OF THE CONTINUES FOR 5 YEARS, EXCEPT PRESIDENT SUBJECT TO RATIFICATION BY THE PARLIAMENT. DISSOLVED EARLIER. THE SPEAKER HEADS THE LOK VICE PRESIDENT OF INDIA HEADS THE D. FINANCIAL POWERS OF PRESIDENT : 3. SABHA. RAJYA SABHA. 1. TO INTRODUCE THE MONEY BILL, HIS PRIOR RECOMMENDATION IS A MUST. 4. 25 YEARS IS THE MINIMUM AGE 30 YEARS IS THE MINIMUM AGE TO 2. HE CAUSES UNION BUDGET TO BE LAID BEFORE THE PARLIAMENT. TO BECOME A MEMBER OF LOK BECOME A MEMBER OF RAJYA SABHA. 3. TO MAKE A DEMAND FOR GRANTS, HIS RECOMMENDATION IS A PRE-REQUISITE. SABHA. 4. CONTINGENCY FUND OF INDIA IS UNDER HIS CONTROL. 5. STRENGTH OF LOK SABHA IS 552 STRENGTH OF RAJYA SABHA IS 250 5. HE CONSTITUTES THE FINANCE COMMISSION EVERY FIVE YEARS. MEMBERS. MEMBERS. E. MILITARY POWERS OF PRESIDENT : 1. ARTICLE 53 VESTS THE SUPREME COMMAND OF THE ARMED FORCES OF INDIA IN
40|COMPARE THE POWERS OF INDIAN PRESIDENT WITH THE UNITED AND FUNCTIONS OF THE PRIME MINISTER OF INDIA. STATES PRESIDENT. ANSWER||1. THE PRIME MINISTER OF INDIA IS THE HEAD OF THE GOVERNMENT AND COUNTRY. S. NO. INDIAN PRESIDENT UNITED STATES PRESIDENT 2. HE IS APPOINTED BY THE PRESIDENT OF INDIA AFTER THE POLITICAL PARTY WINS A GENERAL ELECTION AND NOMINATES A CANDIDATE FOR THE POST. 1. THE INDIAN PRESIDENT IS THE AMERICAN PRESIDENT IS ELECTED 3. THE LEADER OF THAT POLITICAL PARTY IS HENCE APPOINTED AS THE PRIME MINISTER ELECTED BY THE ELECTED BY THE PEOPLE OF AMERICAN. OF INDIA. MEMBERS OF THE PARLIAMENT. POWERS OF PRIME MINISTER : PRIME MINISTER OF INDIA PERFORMS HIS 2. THE INDIAN CONSTITUTION HAS THE AMERICAN CONSTITUTION HAS FUNCTIONS BY TAKING RESPONSIBILITIES LISTED BELOW : SET UP PARLIAMENTARY VESTED ALL EXECUTIVE POWERS IN THE 1. THE LEADER OF COUNTRY: THE PRIME MINISTER OF INDIA IS THE CHIEF HEAD SYSTEM IN WHICH ALL PRESIDENT. OF THE GOVERNMENT OF INDIA. EXECUTIVE POWERS ARE TO BE EXERCISED BY A COUNCIL OF 2. PORTFOLIO ALLOCATION : THE PRIME MINISTER HAS THE AUTHORITY TO ASSIGN MINISTERS, WHICH IS RESPECTIVE PORTFOLIOS TO THE MINISTERS. RESPONSIBLE TO PARLIAMENT. 3. CHAIRMAN OF THE CABINET THE PRIME MINISTER IS THE CHAIRMAN OF THE 3. THE INDIAN PRESIDENT THE AMERICAN PRESIDENT CHOOSES CABINET AND CONDUCTS THE MEETINGS OF THE CABINET. HE CAN IMPOSE HIS APPOINTS HIS MINISTERS ON THE DECISION IF THERE IS A CRUCIAL OPINION DIFFERENCE AND CONFLICT AMONG THE HIS OWN MINISTERS. THEY ARE HIS ADVICE OF HIS PRIME MINISTER NOMINEES AND ARE RESPONSIBLE TO MEMBERS. AND THEY ARE RESPONSIBLE NOT HIM ALONE. 4. THE COUNTRY FOR HIGH-LEVEL INTERNATIONAL MEETINGS AND HE IS OFFICIAL REPRESENTATIVE OF THE COUNTRY: PRIME MINISTER REPRESENTS THE TO HIM BUT TO PARLIAMENT. AMBASSADOR OF THE COUNTRY.   2-111 (NCC-SEM-5&6) () UNION EXECUTIVE & STATE EXECUTIVE 5. THE LINK BETWEEN THE PRESIDENT AND THE CABINET : THE PRIME MINISTER ACTS AS THE LINK BETWEEN THE PRESIDENT AND CABINET. HE 3. THE INDIAN JUDICIARY IS CONSIDERED THE WATCHDOG OF DEMOCRACY, AND ALSO COMMUNICATES ALL DECISIONS OF THE CABINET TO THE PRESIDENT WHICH IS THE GUARDIAN OF THE CONSTITUTION. RELATED TO THE ADMINISTRATION OF THE AFFAIRS OF THE UNION AND PROPOSALS 4. FOR INDIAN DEMOCRACY TO FUNCTION EFFECTIVELY, IT IS IMPERATIVE TO HAVE AN FOR LEGISLATION. IMPARTIAL AND INDEPENDENT JUDICIARY. 6. HEAD THE PRIME MINISTER IS THE HEAD OF MANY ORGANISATION AND PROGRAMS LIKE NUCLEAR COMMAND AUTHORITY, NITI AAYOG, APPOINTMENTS COMMITTEE
41|WHAT ARE THE FUNCTIONS OF JUDICIARY IN INDIA ? OF THE CABINET, DEPARTMENT OF ATOMIC ENERGY, DEPARTMENT OF SPACE AND MINISTRY OF PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS.||7. CHIEF ADVISOR : HE ALSO PLAYS THE ROLE OF CHIEF ADVISOR TO THE PRESIDENT. FOLLOWING ARE THE FUNCTIONS OF JUDICIARY IN INDIA : DESCRIBE THE MAIN FUNCTIONS OF PRIME MINISTER RELATED 1. THE JUDICIARY IN INDIA PROVIDES JUSTICE TO THE PEOPLE.
